SUBID,NEIGHBOURS
8212276.0,"[8211446.0, 8212570.0, 8212919.0, 8214831.0, 8215024.0, 8212485.0, 8208967.0, 8212552.0, 8214834.0, 8207989.0]"
8212131.0,"[8210244.0, 8210546.0, 8211550.0, 8212473.0, 8212273.0, 8211467.0, 8210165.0, 8211881.0]"
8211062.0,"[8211077.0, 8211101.0, 8211404.0, 8210402.0, 8212273.0, 8212253.0, 8207414.0]"
8211881.0,"[8211550.0, 8211914.0, 8212475.0, 8212273.0, 8211467.0, 8212131.0, 8212291.0]"
8207414.0,"[8207657.0, 8209668.0, 8211404.0, 8211983.0, 8212280.0, 8212253.0, 8211062.0, 8211730.0]"
8213897.0,"[8213860.0, 8213932.0, 8214314.0, 8214198.0, 8325457.0, 8302490.0]"
8210530.0,"[8200275.0, 8210928.0, 8211701.0, 8211298.0, 8212241.0, 8212379.0, 8000146.0, 8000140.0]"
8214198.0,"[8200309.0, 8213932.0, 8204847.0, 8213897.0, 8210775.0, 8302490.0]"
8207989.0,"[8208577.0, 8209108.0, 8214398.0, 8215007.0, 8208967.0, 8212566.0, 8214834.0, 8214774.0, 8212276.0, 8214855.0, 8214477.0]"
8000146.0,"[8211298.0, 8210530.0, 8000017.0, 8000140.0]"
8214855.0,"[8209108.0, 8211649.0, 8214634.0, 8214936.0, 8214319.0, 8214774.0, 8207989.0, 8212878.0, 8214477.0]"
8212878.0,"[8214855.0, 8214477.0]"
8214477.0,"[8209108.0, 8211649.0, 8214707.0, 8212566.0, 8207989.0, 8214855.0, 8212878.0, 8211344.0]"
8210775.0,"[8200309.0, 8209235.0, 8213873.0, 8214235.0, 8204847.0, 8214322.0, 8214198.0, 8207864.0]"
8211730.0,"[8209668.0, 8211389.0, 8211983.0, 8211701.0, 8207414.0, 8211640.0, 8209558.0]"
8000017.0,"[8000018.0, 8211298.0, 8000146.0, 8000140.0, 8000015.0, 8211254.0, 8000016.0]"
8211344.0,"[8211385.0, 8211649.0, 8214707.0, 8212123.0, 8214477.0, 8210781.0, 8212549.0]"
8211640.0,"[8211701.0, 8211730.0, 8210929.0, 8209558.0, 8000140.0]"
8210781.0,[8211344.0]
8210929.0,"[8211701.0, 8212241.0, 8211640.0, 8000140.0]"
8212549.0,"[8210244.0, 8210546.0, 8211385.0, 8211429.0, 8212123.0, 8211344.0]"
8212494.0,"[8211467.0, 8212123.0, 8211148.0, 8210761.0]"
8211148.0,"[8211649.0, 8212123.0, 8210747.0, 8212236.0, 8212494.0, 8210761.0]"
8210761.0,"[8208448.0, 8211649.0, 8211467.0, 8212236.0, 8212494.0, 8211148.0, 8211703.0]"
8211703.0,"[8208448.0, 8212382.0, 8210747.0, 8210761.0, 8212291.0]"
8212291.0,"[8208448.0, 8210947.0, 8211025.0, 8211508.0, 8211914.0, 8212364.0, 8212382.0, 8212475.0, 8212502.0, 8211881.0, 8211703.0, 8212085.0]"
8212085.0,"[8211508.0, 8212307.0, 8212475.0, 8212502.0, 8212274.0, 8212291.0, 8211395.0]"
8211395.0,"[8211404.0, 8211563.0, 8212307.0, 8212475.0, 8212273.0, 8212085.0, 8211396.0]"
8211396.0,"[8211389.0, 8211563.0, 8212307.0, 8211395.0, 8207864.0]"
8207864.0,"[8209235.0, 8209383.0, 8209465.0, 8209724.0, 8210020.0, 8210364.0, 8210448.0, 8210645.0, 8210853.0, 8210856.0, 8210985.0, 8211117.0, 8211389.0, 8211411.0, 8211597.0, 8212307.0, 8213855.0, 8213875.0, 8214027.0, 8214080.0, 8214134.0, 8214235.0, 8214401.0, 8212161.0, 8214311.0, 8214132.0, 8214322.0, 8210775.0, 8211396.0, 8211505.0]"
8211505.0,"[8210985.0, 8211389.0, 8211411.0, 8211787.0, 8207864.0, 8209558.0, 8214212.0]"
8209558.0,"[8211389.0, 8211787.0, 8212671.0, 8211730.0, 8211640.0, 8211505.0, 8000140.0]"
8000140.0,"[8211662.0, 8212671.0, 8212674.0, 8212241.0, 8210530.0, 8000146.0, 8000017.0, 8211640.0, 8210929.0, 8209558.0, 8000015.0]"
8000015.0,"[8000018.0, 8211662.0, 8000017.0, 8000140.0, 8211254.0]"
