SUBID,NEIGHBOURS
8206667,"['8205985', '8206715', '8208335', '8208592', '8208658', '8206256']"
8206688,"['8207966', '8208081', '8208902', '8206364', '8207180', '8209191']"
8206715,"['8206563', '8206667', '8208257', '8208658', '8206256', '8207079']"
8206737,"['8207383', '8207452', '8212037', '8206722', '8211990']"
8206782,"['8207356', '8206224', '8206615', '8206483']"
8206797,"['8206286', '8207070', '8207330', '8206547', '8206483']"
8206823,"['8206310', '8207033', '8207035', '8207281', '8206256']"
8206844,"['8207367', '8200750', '8207487']"
8206875,"['8206454', '8206982', '8206251', '8207360', '8206852']"
8206897,"['8200155', '8206580', '8200156', '8205123', '8206920', '8201285']"
8206901,"['8206318', '8208241', '8208578']"
8206965,"['8208408', '8207346', '8205979', '8206583', '8207181', '8207408', '8207432', '8207486']"
8206982,"['8206875', '8206547', '8206251']"
8207033,"['8205609', '8206334', '8206823', '8207182', '8207035', '8206957', '8207281']"
8207070,"['8206286', '8206797', '8207214', '8207170', '8206483']"
8207148,"['8200844', '8206100', '8207320', '8205872', '8206957', '8207465', '8207578', '8207674']"
8207156,"['8207214', '8206615']"
8207162,"['8207040', '8207175']"
8207182,"['8205609', '8206079', '8206334', '8207033', '8207475', '8207035', '8203810']"
8207189,"['8200891', '8206248', '8207482', '8206402']"
8207190,"['8208629', '8207691', '8207252', '8207899']"
8207191,"['8208241', '8208423', '8208489', '8208578', '8208090', '8208848']"
8207214,"['8206258', '8207070', '8207156', '8207170', '8207487', '8206615']"
8207286,"['8207375', '8207451', '8207463', '8207645']"
8207293,"['8206915', '8207040', '8207175', '8207367', '8200750']"
8207300,"['8207392', '8208047', '8207799']"
8207311,"['8208307', '8209031', '8209367', '8208118', '8207200', '8207248', '8206948', '8209403']"
8207330,"['8206797', '8207471', '8206547', '8206852', '8206322', '8207116', '8206483', '8207408']"
8207355,"['8206438', '8206563', '8206572', '8206599', '8207377', '8206562', '8206240', '8200638', '8206116']"
8207356,"['8200640', '8206782', '8206224', '8206240', '8206483']"
8207375,"['8207286', '8207451', '8207463', '8207216', '8207425', '8207277']"
8207377,"['8206563', '8206572', '8207355', '8208257', '8207138']"
8207383,"['8206737', '8208408', '8208688', '8211939', '8212037', '8207346', '8206722']"
8207389,"['8207458', '8207634', '8208028', '8207425', '8207298', '8207409', '8207590']"
8207392,"['8200336', '8207300', '8207691', '8208047', '8208004', '8207801', '8207799']"
8207406,"['8207492', '8207801', '8208036']"
8207442,"['8207475', '8206224', '8203810', '8205441', '8200151', '8205128']"
8207451,"['8207286', '8207375', '8207488', '8207184', '8207277', '8207645']"
8207452,"['8206379', '8206737', '8211074', '8211928', '8206722', '8211990']"
8207458,"['8207389', '8207529', '8207634', '8207680', '8207409', '8209844', '8209904', '8210103']"
8207471,"['8207330', '8206483', '8200638', '8206309']"
8207475,"['8207182', '8207442', '8203810']"
8207488,"['8207451', '8208430', '8207184', '8207339', '8207645']"
8207515,"['8207729', '8207799', '8207425']"
8207529,"['8207458', '8207675', '8207680', '8207519', '8207851', '8209844']"
8207616,"['8207691', '8208004', '8207394', '8207735', '8207899']"
8207634,"['8207389', '8207458', '8207680', '8207811', '8208028']"
8207675,"['8207529', '8207765', '8207929', '8207680', '8207519', '8213077', '8218166', '8217956']"
8207726,"['8208130', '8208610', '8208775', '8212497', '8212938', '8212595', '8208049', '8212784']"
8207727,"['8207966', '8208902', '8209028', '8207854', '8207967']"
8207729,"['8207515', '8207492', '8207799', '8207425', '8207590', '8207863']"
8207743,"['8207820', '8208277', '8208492', '8208526', '8207834', '8209516', '8207796', '8207733']"
8207755,"['8207929', '8207999', '8207658', '8207192', '8208028', '8207216']"
8207765,"['8207675', '8207784', '8207929', '8207680']"
8207770,"['8207874', '8208053', '8208069', '8209467', '8208437']"
8207784,"['8207765', '8207929', '8207680', '8207811']"
8207788,"['8208277', '8208492', '8208485', '8207982', '8208049', '8209663']"
8207803,"['8207820', '8208315', '8209306', '8208141', '8207834', '8207838', '8209249', '8208240']"
8207818,"['8200727', '8207991', '8207905', '8208427']"
8207820,"['8207743', '8207803', '8208449', '8207834', '8208240', '8207796']"
8207831,"['8207874', '8209223', '8208730']"
8207861,"['8207759', '8207658', '8207463', '8207227', '8207645', '8207665', '8207686', '8212869', '8207791']"
8207867,"['8209517', '8209028', '8209686', '8207905']"
8207873,"['8208474', '8209276', '8209249']"
8207874,"['8200727', '8200730', '8207770', '8207831', '8208069', '8208298', '8209223', '8208730', '8207996', '8209467']"
8207878,"['8208148', '8207029', '8209593', '8209199']"
8207886,"['8207901', '8208735', '8207636', '8207339', '8208783']"
8207926,"['8208338', '8209661', '8209034', '8204617', '8205262']"
8207929,"['8207675', '8207755', '8207765', '8207784', '8207999', '8213041', '8207811', '8208028', '8213077']"
8207944,"['8208091', '8208528', '8209367', '8209403', '8209191']"
8207966,"['8206688', '8207727', '8208081', '8208357', '8208529', '8208902', '8209517', '8207835', '8209028']"
8207999,"['8207755', '8207929', '8213041', '8207759', '8207658']"
8208020,"['8209609', '8209680', '8216600', '8209467', '8208437']"
8208053,"['8207770', '8208069', '8209251', '8208437', '8216695']"
8208061,"['8208369', '8208400', '8208625', '8208676', '8208556', '8208433']"
